drug	genes	mode	question	answer	llm_answer	llm_genes	precision	recall
abacavir	HLA-B	clinician	I want to give my patient abacavir. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	HLA-B; HLA-A; HLA-C	['HLA-B', 'HLA-A', 'HLA-C']	0.3333333333333333	1.0
abacavir	HLA-B	researcher	What genes have actionable pharmacogenetic guidelines for abacavir? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	HLA-B;	['HLA-B', '']	0.5	1.0
allopurinol	HLA-B	clinician	I want to give my patient allopurinol. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	HPRT1; TPMT; HLA-B	['HPRT1', 'TPMT', 'HLA-B']	0.3333333333333333	1.0
allopurinol	HLA-B	researcher	What genes have actionable pharmacogenetic guidelines for allopurinol? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	HLA-B;	['HLA-B', '']	0.5	1.0
amikacin	MT-RNR1	clinician	I want to give my patient amikacin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	No genes have been consistently associated with amikacin response or toxicity, and there are no established pharmacogenetic guidelines for its use. However, since amikacin is an aminoglycoside antibiotic, genes involved in aminoglycoside pharmacokinetics and ototoxicity may be considered. Here is a list of gene symbols:    SLC22A2; SLC47A1; OCT2; OCTN1; MT-RNR1	['No genes have been consistently associated with amikacin response or toxicity, and there are no established pharmacogenetic guidelines for its use. However, since amikacin is an aminoglycoside antibiotic, genes involved in aminoglycoside pharmacokinetics and ototoxicity may be considered. Here is a list of gene symbols:    SLC22A2', 'SLC47A1', 'OCT2', 'OCTN1', 'MT-RNR1']	0.2	1.0
amikacin	MT-RNR1	researcher	What genes have actionable pharmacogenetic guidelines for amikacin? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	Here is the list of genes with actionable pharmacogenetic guidelines for amikacin:    MT-RNR1	['Here is the list of genes with actionable pharmacogenetic guidelines for amikacin:    MT-RNR1']	0.0	0.0
amitriptyline	CYP2D6;CYP2C19	clinician	I want to give my patient amitriptyline. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6;CYP2C19	CYP2C19; CYP2D6; HTR2A; ABCB1	['CYP2C19', 'CYP2D6', 'HTR2A', 'ABCB1']	0.5	1.0
amitriptyline	CYP2D6;CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for amitriptyline? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6;CYP2C19	CYP2C19; CYP2D6; HTR2A	['CYP2C19', 'CYP2D6', 'HTR2A']	0.6666666666666666	1.0
atazanavir	UGT1A1	clinician	I want to give my patient atazanavir. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	UGT1A1	UGT1A1;SLCO1B1	['UGT1A1', 'SLCO1B1']	0.5	1.0
atazanavir	UGT1A1	researcher	What genes have actionable pharmacogenetic guidelines for atazanavir? Please respond with nothing but a list of gene symbols delimited by ';'.	UGT1A1	UGT1A1; CYP3A5	['UGT1A1', 'CYP3A5']	0.5	1.0
atomoxetine	CYP2D6	clinician	I want to give my patient atomoxetine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6; NET	['CYP2D6', 'NET']	0.5	1.0
atomoxetine	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for atomoxetine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6	['CYP2D6']	1.0	1.0
atorvastatin	SLCO1B1	clinician	I want to give my patient atorvastatin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	SLCO1B1	SLCO1B1; ABCG2	['SLCO1B1', 'ABCG2']	0.5	1.0
atorvastatin	SLCO1B1	researcher	What genes have actionable pharmacogenetic guidelines for atorvastatin? Please respond with nothing but a list of gene symbols delimited by ';'.	SLCO1B1	SLCO1B1; ABCG2	['SLCO1B1', 'ABCG2']	0.5	1.0
azathioprine	NUDT15;TPMT	clinician	I want to give my patient azathioprine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	NUDT15;TPMT	TPMT; ITPA; NUDT15	['TPMT', 'ITPA', 'NUDT15']	0.6666666666666666	1.0
azathioprine	NUDT15;TPMT	researcher	What genes have actionable pharmacogenetic guidelines for azathioprine? Please respond with nothing but a list of gene symbols delimited by ';'.	NUDT15;TPMT	TPMT; NUDT15; ITPA.	['TPMT', 'NUDT15', 'ITPA.']	0.6666666666666666	1.0
