gene	drugs	question	answer	llm_answer	llm_drugs	precision	recall
ABCG2	rosuvastatin	Which drugs have actionable CPIC guidelines for ABCG2? Please respond with nothing but a list of generic drug names delimited by ';'.	rosuvastatin	Here is the list of drugs with actionable CPIC guidelines for ABCG2:    dipyridamole; gefitinib; imatinib; lapatinib; mercaptopurine; methotrexate; nilotinib; topotecan	['here is the list of drugs with actionable cpic guidelines for abcg2:    dipyridamole', 'gefitinib', 'imatinib', 'lapatinib', 'mercaptopurine', 'methotrexate', 'nilotinib', 'topotecan']	0.0	0.0
CACNA1S	desflurane;succinylcholine;sevoflurane;methoxyflurane;halothane;isoflurane;enflurane	Which drugs have actionable CPIC guidelines for CACNA1S? Please respond with nothing but a list of generic drug names delimited by ';'.	desflurane;succinylcholine;sevoflurane;methoxyflurane;halothane;isoflurane;enflurane	Here is the list of drugs with actionable CPIC guidelines for CACNA1S:    Verapamil;	['here is the list of drugs with actionable cpic guidelines for cacna1s:    verapamil', '']	0.0	0.0
CFTR	ivacaftor	Which drugs have actionable CPIC guidelines for CFTR? Please respond with nothing but a list of generic drug names delimited by ';'.	ivacaftor	Here is the list of drugs with actionable CPIC guidelines for CFTR:    Ivacaftor; Lumacaftor; Tezacaftor; Elexacaftor.	['here is the list of drugs with actionable cpic guidelines for cftr:    ivacaftor', 'lumacaftor', 'tezacaftor', 'elexacaftor.']	0.0	0.0
CYP2B6	efavirenz	Which drugs have actionable CPIC guidelines for CYP2B6? Please respond with nothing but a list of generic drug names delimited by ';'.	efavirenz	Here is the list of drugs with actionable CPIC guidelines for CYP2B6:    Cyclophosphamide; Efavirenz; Nevirapine; Methadone	['here is the list of drugs with actionable cpic guidelines for cyp2b6:    cyclophosphamide', 'efavirenz', 'nevirapine', 'methadone']	0.25	1.0
CYP2C19	pantoprazole;sertraline;omeprazole;lansoprazole;amitriptyline;citalopram;voriconazole;escitalopram;clopidogrel	Which drugs have actionable CPIC guidelines for CYP2C19? Please respond with nothing but a list of generic drug names delimited by ';'.	pantoprazole;sertraline;omeprazole;lansoprazole;amitriptyline;citalopram;voriconazole;escitalopram;clopidogrel	Here is the list of drugs with actionable CPIC (Clinical Pharmacogenetics Implementation Consortium) guidelines for CYP2C19:    amitriptyline; citalopram; clomipramine; clopidogrel; escitalopram; imipramine; lansoprazole; nortriptyline; pantoprazole; propranolol; rabeprazole; sertraline; voriconazole.	['here is the list of drugs with actionable cpic (clinical pharmacogenetics implementation consortium) guidelines for cyp2c19:    amitriptyline', 'citalopram', 'clomipramine', 'clopidogrel', 'escitalopram', 'imipramine', 'lansoprazole', 'nortriptyline', 'pantoprazole', 'propranolol', 'rabeprazole', 'sertraline', 'voriconazole.']	0.46153846153846156	0.6666666666666666
CYP2C9	phenytoin;warfarin;piroxicam;tenoxicam;flurbiprofen;meloxicam;fosphenytoin;siponimod;ibuprofen;celecoxib;fluvastatin;lornoxicam	Which drugs have actionable CPIC guidelines for CYP2C9? Please respond with nothing but a list of generic drug names delimited by ';'.	phenytoin;warfarin;piroxicam;tenoxicam;flurbiprofen;meloxicam;fosphenytoin;siponimod;ibuprofen;celecoxib;fluvastatin;lornoxicam	Here is the list of drugs with actionable CPIC guidelines for CYP2C9:    celecoxib; flurbiprofen; ibuprofen; indomethacin; lornoxicam; piroxicam; sulfamethoxazole; tolbutamide; warfarin	['here is the list of drugs with actionable cpic guidelines for cyp2c9:    celecoxib', 'flurbiprofen', 'ibuprofen', 'indomethacin', 'lornoxicam', 'piroxicam', 'sulfamethoxazole', 'tolbutamide', 'warfarin']	0.5555555555555556	0.4166666666666667
CYP2D6	paroxetine;ondansetron;tropisetron;nortriptyline;tramadol;amitriptyline;atomoxetine;codeine;tamoxifen;pitolisant;vortioxetine	Which drugs have actionable CPIC guidelines for CYP2D6? Please respond with nothing but a list of generic drug names delimited by ';'.	paroxetine;ondansetron;tropisetron;nortriptyline;tramadol;amitriptyline;atomoxetine;codeine;tamoxifen;pitolisant;vortioxetine	Here is the list of drugs with actionable CPIC guidelines for CYP2D6:    amitriptyline; atomoxetine; codeine; desipramine; doxepin; fluoxetine; imipramine; metoprolol; nortriptyline; olanzapine; ondansetron; paroxetine; propranolol; risperidone; tamoxifen; timolol; venlafaxine	['here is the list of drugs with actionable cpic guidelines for cyp2d6:    amitriptyline', 'atomoxetine', 'codeine', 'desipramine', 'doxepin', 'fluoxetine', 'imipramine', 'metoprolol', 'nortriptyline', 'olanzapine', 'ondansetron', 'paroxetine', 'propranolol', 'risperidone', 'tamoxifen', 'timolol', 'venlafaxine']	0.35294117647058826	0.5454545454545454
CYP3A5	tacrolimus	Which drugs have actionable CPIC guidelines for CYP3A5? Please respond with nothing but a list of generic drug names delimited by ';'.	tacrolimus	Tacrolimus; Sirolimus; Everolimus; Midazolam.	['tacrolimus', 'sirolimus', 'everolimus', 'midazolam.']	0.25	1.0
CYP4F2	warfarin	Which drugs have actionable CPIC guidelines for CYP4F2? Please respond with nothing but a list of generic drug names delimited by ';'.	warfarin	Here is the list of drugs with actionable CPIC guidelines for CYP4F2:    warfarin;     Please note that as of now, warfarin is the only drug with actionable CPIC guidelines for CYP4F2. If new guidelines are released, this list may change.	['here is the list of drugs with actionable cpic guidelines for cyp4f2:    warfarin', 'please note that as of now, warfarin is the only drug with actionable cpic guidelines for cyp4f2. if new guidelines are released, this list may change.']	0.0	0.0
DPYD	capecitabine;fluorouracil	Which drugs have actionable CPIC guidelines for DPYD? Please respond with nothing but a list of generic drug names delimited by ';'.	capecitabine;fluorouracil	Here is the list of drugs with actionable CPIC guidelines for DPYD:    Capecitabine; Fluorouracil; Tegafur	['here is the list of drugs with actionable cpic guidelines for dpyd:    capecitabine', 'fluorouracil', 'tegafur']	0.3333333333333333	0.5
