gene	drugs	question	answer	llm_answer	llm_drugs	precision	recall
ABCG2	rosuvastatin	Which drugs have actionable CPIC guidelines for ABCG2? Please respond with nothing but a list of generic drug names delimited by ';'.	rosuvastatin	4'-epi-doxorubicin; irinotecan; methotrexate	"[""4'-epi-doxorubicin"", 'irinotecan', 'methotrexate']"	0.0	0.0
CACNA1S	desflurane;succinylcholine;sevoflurane;methoxyflurane;halothane;isoflurane;enflurane	Which drugs have actionable CPIC guidelines for CACNA1S? Please respond with nothing but a list of generic drug names delimited by ';'.	desflurane;succinylcholine;sevoflurane;methoxyflurane;halothane;isoflurane;enflurane	Diltiazem; Verapamil	['diltiazem', 'verapamil']	0.0	0.0
CFTR	ivacaftor	Which drugs have actionable CPIC guidelines for CFTR? Please respond with nothing but a list of generic drug names delimited by ';'.	ivacaftor	Ivacaftor; lumacaftor; tezacaftor	['ivacaftor', 'lumacaftor', 'tezacaftor']	0.3333333333333333	1.0
CYP2B6	efavirenz	Which drugs have actionable CPIC guidelines for CYP2B6? Please respond with nothing but a list of generic drug names delimited by ';'.	efavirenz	Bupropion; Nevirapine; Efavirenz; Methadone; Cyclophosphamide; Ifosfamide.	['bupropion', 'nevirapine', 'efavirenz', 'methadone', 'cyclophosphamide', 'ifosfamide.']	0.16666666666666666	1.0
CYP2C19	pantoprazole;sertraline;omeprazole;lansoprazole;amitriptyline;citalopram;voriconazole;escitalopram;clopidogrel	Which drugs have actionable CPIC guidelines for CYP2C19? Please respond with nothing but a list of generic drug names delimited by ';'.	pantoprazole;sertraline;omeprazole;lansoprazole;amitriptyline;citalopram;voriconazole;escitalopram;clopidogrel	Clopidogrel; Voriconazole; Omeprazole; Escitalopram; Amitriptyline; Diazepam; Citalopram; Imipramine; Lansoprazole; Pantoprazole; Rabeprazole	['clopidogrel', 'voriconazole', 'omeprazole', 'escitalopram', 'amitriptyline', 'diazepam', 'citalopram', 'imipramine', 'lansoprazole', 'pantoprazole', 'rabeprazole']	0.7272727272727273	0.8888888888888888
CYP2C9	phenytoin;warfarin;piroxicam;tenoxicam;flurbiprofen;meloxicam;fosphenytoin;siponimod;ibuprofen;celecoxib;fluvastatin;lornoxicam	Which drugs have actionable CPIC guidelines for CYP2C9? Please respond with nothing but a list of generic drug names delimited by ';'.	phenytoin;warfarin;piroxicam;tenoxicam;flurbiprofen;meloxicam;fosphenytoin;siponimod;ibuprofen;celecoxib;fluvastatin;lornoxicam	Warfarin; phenytoin; NSAIDs	['warfarin', 'phenytoin', 'nsaids']	0.6666666666666666	0.16666666666666666
CYP2D6	paroxetine;ondansetron;tropisetron;nortriptyline;tramadol;amitriptyline;atomoxetine;codeine;tamoxifen;pitolisant;vortioxetine	Which drugs have actionable CPIC guidelines for CYP2D6? Please respond with nothing but a list of generic drug names delimited by ';'.	paroxetine;ondansetron;tropisetron;nortriptyline;tramadol;amitriptyline;atomoxetine;codeine;tamoxifen;pitolisant;vortioxetine	Codeine; Tamoxifen; Tramadol; Fluoxetine; Paroxetine; Amitriptyline; Venlafaxine; Imipramine; Nortriptyline; Desipramine	['codeine', 'tamoxifen', 'tramadol', 'fluoxetine', 'paroxetine', 'amitriptyline', 'venlafaxine', 'imipramine', 'nortriptyline', 'desipramine']	0.6	0.5454545454545454
CYP3A5	tacrolimus	Which drugs have actionable CPIC guidelines for CYP3A5? Please respond with nothing but a list of generic drug names delimited by ';'.	tacrolimus	Tacrolimus; Carbamazepine; Voriconazole; Sirolimus	['tacrolimus', 'carbamazepine', 'voriconazole', 'sirolimus']	0.25	1.0
CYP4F2	warfarin	Which drugs have actionable CPIC guidelines for CYP4F2? Please respond with nothing but a list of generic drug names delimited by ';'.	warfarin	Warfarin; R-warfarin; S-warfarin	['warfarin', 'r-warfarin', 's-warfarin']	0.3333333333333333	1.0
DPYD	capecitabine;fluorouracil	Which drugs have actionable CPIC guidelines for DPYD? Please respond with nothing but a list of generic drug names delimited by ';'.	capecitabine;fluorouracil	Capecitabine; Fluorouracil	['capecitabine', 'fluorouracil']	1.0	1.0
G6PD	nitrofurantoin;primaquine;rasburicase;pegloticase;toluidine blue;tafenoquine;dapsone;methylene blue	Which drugs have actionable CPIC guidelines for G6PD? Please respond with nothing but a list of generic drug names delimited by ';'.	nitrofurantoin;primaquine;rasburicase;pegloticase;toluidine blue;tafenoquine;dapsone;methylene blue	Dapsone; Rasburicase; Primaquine; Sulfamethoxazole; Chloroquine; Sulfasalazine; Nitrofurantoin; Hiv Protease Inhibitors.	['dapsone', 'rasburicase', 'primaquine', 'sulfamethoxazole', 'chloroquine', 'sulfasalazine', 'nitrofurantoin', 'hiv protease inhibitors.']	0.5	0.5
HLA-A	carbamazepine	Which drugs have actionable CPIC guidelines for HLA-A? Please respond with nothing but a list of generic drug names delimited by ';'.	carbamazepine	carbamazepine; allopurinol	['carbamazepine', 'allopurinol']	0.5	1.0
HLA-B	allopurinol;oxcarbazepine;phenytoin;fosphenytoin;carbamazepine;abacavir	Which drugs have actionable CPIC guidelines for HLA-B? Please respond with nothing but a list of generic drug names delimited by ';'.	allopurinol;oxcarbazepine;phenytoin;fosphenytoin;carbamazepine;abacavir	Carbamazepine; Allopurinol; Abacavir; Nevirapine; Fluoropyrimidines	['carbamazepine', 'allopurinol', 'abacavir', 'nevirapine', 'fluoropyrimidines']	0.6	0.5
IFNL3	peginterferon alfa-2b;peginterferon alfa-2a	Which drugs have actionable CPIC guidelines for IFNL3? Please respond with nothing but a list of generic drug names delimited by ';'.	peginterferon alfa-2b;peginterferon alfa-2a	Peginterferon alfa-2a; Peginterferon alfa-2b; Ribavirin	['peginterferon alfa-2a', 'peginterferon alfa-2b', 'ribavirin']	0.6666666666666666	1.0
IFNL4	peginterferon alfa-2b;peginterferon alfa-2a	Which drugs have actionable CPIC guidelines for IFNL4? Please respond with nothing but a list of generic drug names delimited by ';'.	peginterferon alfa-2b;peginterferon alfa-2a	Peginterferon alfa-2a; Peginterferon alfa-2b	['peginterferon alfa-2a', 'peginterferon alfa-2b']	1.0	1.0
