gene	drugs	question	answer	llm_answer	llm_drugs	precision	recall
ABCG2	rosuvastatin	Which drugs have actionable CPIC guidelines for ABCG2? Please respond with nothing but a list of generic drug names delimited by ';'.	rosuvastatin	allopurinol; rosuvastatin	['allopurinol', 'rosuvastatin']	0.5	1.0
CACNA1S	desflurane;succinylcholine;sevoflurane;methoxyflurane;halothane;isoflurane;enflurane	Which drugs have actionable CPIC guidelines for CACNA1S? Please respond with nothing but a list of generic drug names delimited by ';'.	desflurane;succinylcholine;sevoflurane;methoxyflurane;halothane;isoflurane;enflurane	Dantrolene; vecuronium	['dantrolene', 'vecuronium']	0.0	0.0
CFTR	ivacaftor	Which drugs have actionable CPIC guidelines for CFTR? Please respond with nothing but a list of generic drug names delimited by ';'.	ivacaftor	Ivacaftor; Lumacaftor/ivacaftor; Tezacaftor/ivacaftor; Elexacaftor/tezacaftor/ivacaftor.	['ivacaftor', 'lumacaftor/ivacaftor', 'tezacaftor/ivacaftor', 'elexacaftor/tezacaftor/ivacaftor.']	0.25	1.0
CYP2B6	efavirenz	Which drugs have actionable CPIC guidelines for CYP2B6? Please respond with nothing but a list of generic drug names delimited by ';'.	efavirenz	Efavirenz; bupropion; cyclophosphamide; methadone; propofol	['efavirenz', 'bupropion', 'cyclophosphamide', 'methadone', 'propofol']	0.2	1.0
CYP2C19	pantoprazole;sertraline;omeprazole;lansoprazole;amitriptyline;citalopram;voriconazole;escitalopram;clopidogrel	Which drugs have actionable CPIC guidelines for CYP2C19? Please respond with nothing but a list of generic drug names delimited by ';'.	pantoprazole;sertraline;omeprazole;lansoprazole;amitriptyline;citalopram;voriconazole;escitalopram;clopidogrel	Clopidogrel; Amitriptyline; Citalopram; Clomipramine; Escitalopram; Sertraline; Voriconazole; Tacrolimus.	['clopidogrel', 'amitriptyline', 'citalopram', 'clomipramine', 'escitalopram', 'sertraline', 'voriconazole', 'tacrolimus.']	0.75	0.6666666666666666
CYP2C9	phenytoin;warfarin;piroxicam;tenoxicam;flurbiprofen;meloxicam;fosphenytoin;siponimod;ibuprofen;celecoxib;fluvastatin;lornoxicam	Which drugs have actionable CPIC guidelines for CYP2C9? Please respond with nothing but a list of generic drug names delimited by ';'.	phenytoin;warfarin;piroxicam;tenoxicam;flurbiprofen;meloxicam;fosphenytoin;siponimod;ibuprofen;celecoxib;fluvastatin;lornoxicam	Celecoxib; diclofenac; fluconazole; glipizide; glimepiride; ibuprofen; losartan; naproxen; phenytoin; piroxicam; tolbutamide; warfarin.	['celecoxib', 'diclofenac', 'fluconazole', 'glipizide', 'glimepiride', 'ibuprofen', 'losartan', 'naproxen', 'phenytoin', 'piroxicam', 'tolbutamide', 'warfarin.']	0.3333333333333333	0.3333333333333333
CYP2D6	paroxetine;ondansetron;tropisetron;nortriptyline;tramadol;amitriptyline;atomoxetine;codeine;tamoxifen;pitolisant;vortioxetine	Which drugs have actionable CPIC guidelines for CYP2D6? Please respond with nothing but a list of generic drug names delimited by ';'.	paroxetine;ondansetron;tropisetron;nortriptyline;tramadol;amitriptyline;atomoxetine;codeine;tamoxifen;pitolisant;vortioxetine	atomoxetine; aripiprazole; brexpiprazole; carvedilol; celecoxib; codeine; doxepin; duloxetine; eliglustat; fluoxetine; haloperidol; hydrocodone; iloperidone; levomilnacipran; metoprolol; mirtazapine; nebivolol; nortriptyline; ondansetron; oxycodone; paroxetine; pimozide; propafenone; propranolol; risperidone; sertraline; tamoxifen; tramadol; trazodone; venlafaxine; vortioxetine.	['atomoxetine', 'aripiprazole', 'brexpiprazole', 'carvedilol', 'celecoxib', 'codeine', 'doxepin', 'duloxetine', 'eliglustat', 'fluoxetine', 'haloperidol', 'hydrocodone', 'iloperidone', 'levomilnacipran', 'metoprolol', 'mirtazapine', 'nebivolol', 'nortriptyline', 'ondansetron', 'oxycodone', 'paroxetine', 'pimozide', 'propafenone', 'propranolol', 'risperidone', 'sertraline', 'tamoxifen', 'tramadol', 'trazodone', 'venlafaxine', 'vortioxetine.']	0.22580645161290322	0.6363636363636364
CYP3A5	tacrolimus	Which drugs have actionable CPIC guidelines for CYP3A5? Please respond with nothing but a list of generic drug names delimited by ';'.	tacrolimus	Tacrolimus; Everolimus; Sirolimus.	['tacrolimus', 'everolimus', 'sirolimus.']	0.3333333333333333	1.0
CYP4F2	warfarin	Which drugs have actionable CPIC guidelines for CYP4F2? Please respond with nothing but a list of generic drug names delimited by ';'.	warfarin	Warfarin; Acenocoumarol; Phenprocoumon.	['warfarin', 'acenocoumarol', 'phenprocoumon.']	0.3333333333333333	1.0
DPYD	capecitabine;fluorouracil	Which drugs have actionable CPIC guidelines for DPYD? Please respond with nothing but a list of generic drug names delimited by ';'.	capecitabine;fluorouracil	Capecitabine; Fluorouracil; Tegafur	['capecitabine', 'fluorouracil', 'tegafur']	0.6666666666666666	1.0
G6PD	nitrofurantoin;primaquine;rasburicase;pegloticase;toluidine blue;tafenoquine;dapsone;methylene blue	Which drugs have actionable CPIC guidelines for G6PD? Please respond with nothing but a list of generic drug names delimited by ';'.	nitrofurantoin;primaquine;rasburicase;pegloticase;toluidine blue;tafenoquine;dapsone;methylene blue	Rasburicase; pegloticase	['rasburicase', 'pegloticase']	1.0	0.25
HLA-A	carbamazepine	Which drugs have actionable CPIC guidelines for HLA-A? Please respond with nothing but a list of generic drug names delimited by ';'.	carbamazepine	abacavir; carbamazepine; oxcarbazepine; phenytoin; allopurinol	['abacavir', 'carbamazepine', 'oxcarbazepine', 'phenytoin', 'allopurinol']	0.2	1.0
HLA-B	allopurinol;oxcarbazepine;phenytoin;fosphenytoin;carbamazepine;abacavir	Which drugs have actionable CPIC guidelines for HLA-B? Please respond with nothing but a list of generic drug names delimited by ';'.	allopurinol;oxcarbazepine;phenytoin;fosphenytoin;carbamazepine;abacavir	Abacavir; Allopurinol; Carbamazine; Dapsone; Phenobarbital; Phenytoin; Oxcarbazepine.	['abacavir', 'allopurinol', 'carbamazine', 'dapsone', 'phenobarbital', 'phenytoin', 'oxcarbazepine.']	0.42857142857142855	0.5
IFNL3	peginterferon alfa-2b;peginterferon alfa-2a	Which drugs have actionable CPIC guidelines for IFNL3? Please respond with nothing but a list of generic drug names delimited by ';'.	peginterferon alfa-2b;peginterferon alfa-2a	Peginterferon alfa-2a; Peginterferon alfa-2b; Ribavirin	['peginterferon alfa-2a', 'peginterferon alfa-2b', 'ribavirin']	0.6666666666666666	1.0
IFNL4	peginterferon alfa-2b;peginterferon alfa-2a	Which drugs have actionable CPIC guidelines for IFNL4? Please respond with nothing but a list of generic drug names delimited by ';'.	peginterferon alfa-2b;peginterferon alfa-2a	There are currently no drugs with actionable CPIC guidelines for IFNL4.	['there are currently no drugs with actionable cpic guidelines for ifnl4.']	0.0	0.0
MT-RNR1	streptomycin;amikacin;tobramycin;netilmicin;gentamicin;dibekacin;kanamycin;neomycin;paromomycin;plazomicin;ribostamycin	Which drugs have actionable CPIC guidelines for MT-RNR1? Please respond with nothing but a list of generic drug names delimited by ';'.	streptomycin;amikacin;tobramycin;netilmicin;gentamicin;dibekacin;kanamycin;neomycin;paromomycin;plazomicin;ribostamycin	Gentamicin; Tobramycin; Amikacin.	['gentamicin', 'tobramycin', 'amikacin.']	0.6666666666666666	0.18181818181818182
NUDT15	thioguanine;azathioprine;mercaptopurine	Which drugs have actionable CPIC guidelines for NUDT15? Please respond with nothing but a list of generic drug names delimited by ';'.	thioguanine;azathioprine;mercaptopurine	Thiopurines; Mercaptopurine; Azathioprine; Thioguanine	['thiopurines', 'mercaptopurine', 'azathioprine', 'thioguanine']	0.75	1.0
RYR1	desflurane;succinylcholine;sevoflurane;methoxyflurane;halothane;isoflurane;enflurane	Which drugs have actionable CPIC guidelines for RYR1? Please respond with nothing but a list of generic drug names delimited by ';'.	desflurane;succinylcholine;sevoflurane;methoxyflurane;halothane;isoflurane;enflurane	Dantrolene; succinylcholine	['dantrolene', 'succinylcholine']	0.5	0.14285714285714285
SLCO1B1	lovastatin;simvastatin;atorvastatin;pitavastatin;pravastatin;fluvastatin;rosuvastatin	Which drugs have actionable CPIC guidelines for SLCO1B1? Please respond with nothing but a list of generic drug names delimited by ';'.	lovastatin;simvastatin;atorvastatin;pitavastatin;pravastatin;fluvastatin;rosuvastatin	Simvastatin; Pravastatin; Atorvastatin; Rosuvastatin	['simvastatin', 'pravastatin', 'atorvastatin', 'rosuvastatin']	1.0	0.5714285714285714
TPMT	thioguanine;azathioprine;mercaptopurine	Which drugs have actionable CPIC guidelines for TPMT? Please respond with nothing but a list of generic drug names delimited by ';'.	thioguanine;azathioprine;mercaptopurine	Azathioprine; Mercaptopurine; Thioguanine	['azathioprine', 'mercaptopurine', 'thioguanine']	1.0	1.0
UGT1A1	irinotecan;atazanavir	Which drugs have actionable CPIC guidelines for UGT1A1? Please respond with nothing but a list of generic drug names delimited by ';'.	irinotecan;atazanavir	irinotecan; nilotinib; belinostat	['irinotecan', 'nilotinib', 'belinostat']	0.3333333333333333	0.5
VKORC1	warfarin	Which drugs have actionable CPIC guidelines for VKORC1? Please respond with nothing but a list of generic drug names delimited by ';'.	warfarin	warfarin; acenocoumarol; phenprocoumon	['warfarin', 'acenocoumarol', 'phenprocoumon']	0.3333333333333333	1.0
