drug	genes	question	answer	incorrect_recommendations	concurring_recommendation	llm_answer	bert_score_precision_llm_vs_ref	bert_score_recall_llm_vs_ref	bert_score_f1_llm_vs_ref	bert_score_precision_llm_vs_concurring	bert_score_recall_llm_vs_concurring	bert_score_f1_llm_vs_concurring	bert_score_precision_llm_vs_discordant	bert_score_recall_llm_vs_discordant	bert_score_f1_llm_vs_discordant	oai_embedding_llm_vs_ref	oai_embedding_llm_vs_concurring	oai_embedding_llm_vs_discordant	negation_mpnet_llm_vs_ref	negation_mpnet_llm_vs_concurring	negation_mpnet_llm_vs_discordant	base_mpnet_llm_vs_ref	base_mpnet_llm_vs_concurring	base_mpnet_llm_vs_discordant	roberta_llm_vs_ref	roberta_llm_vs_concurring	roberta_llm_vs_discordant	gte_llm_vs_ref	gte_llm_vs_concurring	gte_llm_vs_discordant	gpt4_llm_vs_ref
abacavir	HLA-B	What would be the clinical guidance for someone who is HLA-B*57:01 positive for HLA-B with regards to taking abacavir? Give a 2-3 sentence summary.	Abacavir is not recommended	['Proceed taking abacavir as normal. There is no recommendation.', 'Take abacavir with a reduced dose.', 'Take abacavir with an increased dose.']	Avoid abacavir. Take an alternate therapy.	Individuals who are HLA-B*57:01 positive have an increased risk of developing a serious hypersensitivity reaction called abacavir hypersensitivity syndrome (AHS) if they take abacavir. Therefore, abacavir should be avoided in patients who are HLA-B*57:01 positive.	-0.26338884	0.19980842	-0.07917702	-0.116878524	0.29368627	0.055774823	-0.16814544796943665	0.29366108775138855	0.019043391570448875	0.6627651955160099	0.6063121849844172	0.6065187621798295	0.69375515	0.56949705	0.6110609	0.6569604	0.6034242	0.6256654	0.5584484	0.55587757	0.46298718	0.60876685	0.6071917	0.58268386	1
abacavir	HLA-B	What would be the clinical guidance for someone who is HLA-B*57:01 negative for HLA-B with regards to taking abacavir? Give a 2-3 sentence summary.	Use abacavir per standard dosing guidelines	['Avoid abacavir. Take an alternate therapy.', 'Take abacavir with a reduced dose.', 'Take abacavir with an increased dose.']	Proceed taking abacavir as normal. There is no recommendation.	Individuals who are HLA-B*57:01 negative for HLA-B have a reduced risk of developing hypersensitivity reactions to abacavir. Therefore, they can take abacavir without the need for additional monitoring or dose adjustments.	-0.056473184	0.21671234	0.067616954	-0.07184333	0.113954835	0.017079802	-0.0028014937415719032	0.4549137353897095	0.18886005878448486	0.5898490328992704	0.5554911048039748	0.6009966047218988	0.49393755	0.61283994	0.52767277	0.5767945	0.5916228	0.56022406	0.50486135	0.46344218	0.5224605	0.6004964	0.5836806	0.6171387	1
allopurinol	HLA-B	What would be the clinical guidance for someone who is HLA-B*58:01 positive for HLA-B with regards to taking allopurinol? Give a 2-3 sentence summary.	Allopurinol is contraindicated	['Proceed taking allopurinol as normal. There is no recommendation.', 'Take allopurinol with a reduced dose.', 'Take allopurinol with an increased dose.']	Avoid allopurinol. Take an alternate therapy.	Individuals who are HLA-B*58:01 positive should avoid taking allopurinol due to a significantly increased risk of developing Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN), potentially life-threatening skin reactions. Alternative medications should be considered for these individuals.	-0.113438904	0.412546	0.09641586	-0.021010092	0.59985447	0.22160408	-0.1041327491402626	0.4599679708480835	0.11503376811742783	0.6596704489594604	0.6420065891854693	0.5996335290781007	0.7677991	0.61801285	0.6398957	0.69144636	0.64506733	0.627966	0.50307983	0.5866375	0.51854074	0.714031	0.6705325	0.6652079	1
allopurinol	HLA-B	What would be the clinical guidance for someone who is HLA-B*58:01 negative for HLA-B with regards to taking allopurinol? Give a 2-3 sentence summary.	Use allopurinol per standard dosing guidelines	['Avoid allopurinol. Take an alternate therapy.', 'Take allopurinol with a reduced dose.', 'Take allopurinol with an increased dose.']	Proceed taking allopurinol as normal. There is no recommendation.	Individuals who are HLA-B*58:01 negative have a low risk of developing allopurinol-induced severe cutaneous adverse reactions (SCARs). Therefore, they can use allopurinol without the need for genetic testing or special precautions.	-0.047250684	0.2730095	0.094807334	-0.05432382	0.15541808	0.044552978	-0.048425644636154175	0.369670569896698	0.12148497253656387	0.545476997145376	0.5253322672869959	0.5437876740885211	0.480206	0.55869424	0.49533203	0.5687122	0.51997286	0.5732904	0.46037927	0.39575502	0.44954088	0.63109696	0.59479856	0.5841663	1
amikacin	MT-RNR1	What would be the clinical guidance for someone who is increased risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking amikacin? Give a 2-3 sentence summary.	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	['Proceed taking amikacin as normal. There is no recommendation.', 'Take amikacin with a reduced dose.', 'Take amikacin with an increased dose.']	Avoid amikacin. Take an alternate therapy.	Individuals with increased risk of aminoglycoside-induced hearing loss due to MT-RNR1 should avoid taking amikacin. If amikacin is absolutely necessary, use the lowest possible dose and monitor hearing closely. Hearing loss may be irreversible.	0.16639227	0.17141491	0.17223695	0.0318859	0.3096329	0.15857196	0.026769526302814484	0.4580245912075043	0.21010325849056244	0.7346970741936976	0.545834447407384	0.5831128932142822	0.7876723	0.68053305	0.6850755	0.7339475	0.66373944	0.6682603	0.76406604	0.5410743	0.5306974	0.67024827	0.62522066	0.6202437	0
amikacin	MT-RNR1	What would be the clinical guidance for someone who is normal risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking amikacin? Give a 2-3 sentence summary.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	['Avoid amikacin. Take an alternate therapy.', 'Take amikacin with a reduced dose.', 'Take amikacin with an increased dose.']	Proceed taking amikacin as normal. There is no recommendation.	For individuals with normal risk of aminoglycoside-induced hearing loss based on MT-RNR1 genotype, amikacin can be used as indicated without dose adjustment. Audiometric monitoring is recommended during therapy to detect any potential hearing loss.	0.17021573	0.31850278	0.24321021	-0.008222987	0.25153154	0.11104735	-0.03678709268569946	0.48994264006614685	0.1763409823179245	0.6904308352664617	0.5807149722706888	0.5721083511943582	0.5796125	0.6453173	0.56752086	0.6748932	0.6458612	0.63799876	0.74542844	0.5002798	0.5510218	0.64658165	0.53547823	0.5583183	0
amikacin	MT-RNR1	What would be the clinical guidance for someone who is uncertain risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking amikacin? Give a 2-3 sentence summary.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	['Avoid amikacin. Take an alternate therapy.', 'Take amikacin with a reduced dose.', 'Take amikacin with an increased dose.']	Proceed taking amikacin as normal. There is no recommendation.	Individuals with an uncertain risk of aminoglycoside-induced hearing loss based on MT-RNR1 genotyping should receive amikacin with caution. Audiometric monitoring is recommended to detect early signs of hearing loss, and alternative antibiotics should be considered if possible.	0.15500097	0.25157547	0.2046521	-0.058318965	0.11233492	0.02427873	-0.021689552813768387	0.4362642765045166	0.16646809875965118	0.7026627059946603	0.511169493003092	0.5419660271711302	0.6188114	0.56202126	0.60986674	0.74484986	0.612547	0.6312517	0.7452942	0.506877	0.55300254	0.6314133	0.54497683	0.5879635	0
aminosalicylic acid	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking aminosalicylic acid? Give a 2-3 sentence summary.	No reason to avoid based on G6PD status at standard doses	['Avoid aminosalicylic acid. Take an alternate therapy.', 'Take aminosalicylic acid with a reduced dose.', 'Take aminosalicylic acid with an increased dose.']	Proceed taking aminosalicylic acid as normal. There is no recommendation.	No response (safety filter)	0.0677348	-0.031285297	0.01994389	0.00710355	-0.05487959	-0.020677116	0.11428467929363251	0.13288037478923798	0.09031996876001358	0.22394085543295977	0.18129887498684394	0.13661306951074012	0.20120041	0.15109587	0.12390983	0.14510247	0.07315086	0.09055206	0.13931212	0.15723462	0.12922747	0.37844625	0.3652228	0.36237696	0
aminosalicylic acid	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking aminosalicylic acid? Give a 2-3 sentence summary.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	['Avoid aminosalicylic acid. Take an alternate therapy.', 'Take aminosalicylic acid with a reduced dose.', 'Take aminosalicylic acid with an increased dose.']	Proceed taking aminosalicylic acid as normal. There is no recommendation.	Individuals with an indeterminate G6PD status should use aminosalicylic acid cautiously and monitor for signs of hemolytic anemia. They should also consider genetic testing to determine their true G6PD status and guide further treatment decisions.	0.22586669	0.2696833	0.25042856	0.0060414844	0.20076524	0.09893029	0.03943744674324989	0.5078850388526917	0.21767936646938324	0.716359201819642	0.4941412366233043	0.4771057751075244	0.67609733	0.51199704	0.5060253	0.67423606	0.59754443	0.5627813	0.6603681	0.5178883	0.5145335	0.60867006	0.4783915	0.534645	0
aminosalicylic acid	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking aminosalicylic acid? Give a 2-3 sentence summary.	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	['Avoid aminosalicylic acid. Take an alternate therapy.', 'Take aminosalicylic acid with a reduced dose.', 'Take aminosalicylic acid with an increased dose.']	Proceed taking aminosalicylic acid as normal. There is no recommendation.	**Clinical Guidance:**    Individuals with G6PD deficiency and CNSHA should avoid taking aminosalicylic acid, as it can increase the risk of hemolysis due to decreased production of NADPH. Alternative medications should be considered to minimize potential harm.	0.113938846	0.31991202	0.2118359	-0.024281792	0.2300188	0.09270634	0.08819559961557388	0.6613330841064453	0.3206050395965576	0.5027083832299581	0.5616192490965903	0.5690936777933245	0.5941931	0.69534254	0.692826	0.5083555	0.68510205	0.66642225	0.4875779	0.588285	0.6066175	0.4996948	0.5607202	0.6323736	0
