drug	genes	question	answer	incorrect_recommendations	concurring_recommendation	llm_answer	bert_score_precision_llm_vs_ref	bert_score_recall_llm_vs_ref	bert_score_f1_llm_vs_ref	bert_score_precision_llm_vs_concurring	bert_score_recall_llm_vs_concurring	bert_score_f1_llm_vs_concurring	bert_score_precision_llm_vs_discordant	bert_score_recall_llm_vs_discordant	bert_score_f1_llm_vs_discordant	oai_embedding_llm_vs_ref	oai_embedding_llm_vs_concurring	oai_embedding_llm_vs_discordant	negation_mpnet_llm_vs_ref	negation_mpnet_llm_vs_concurring	negation_mpnet_llm_vs_discordant	base_mpnet_llm_vs_ref	base_mpnet_llm_vs_concurring	base_mpnet_llm_vs_discordant	roberta_llm_vs_ref	roberta_llm_vs_concurring	roberta_llm_vs_discordant	gte_llm_vs_ref	gte_llm_vs_concurring	gte_llm_vs_discordant	gpt4_llm_vs_ref
abacavir	HLA-B	What would be the clinical guidance for someone who is HLA-B*57:01 positive for HLA-B with regards to taking abacavir? Give a 2-3 sentence summary.	Abacavir is not recommended	['Proceed taking abacavir as normal. There is no recommendation.', 'Take abacavir with a reduced dose.', 'Take abacavir with an increased dose.']	Avoid abacavir. Take an alternate therapy.	Individuals who are HLA-B*57:01 positive have an increased risk of developing a severe hypersensitivity reaction to abacavir, a medication commonly used to treat HIV. It is recommended to avoid prescribing abacavir in individuals who test positive for HLA-B*57:01 to prevent this serious adverse reaction. Prior to initiating abacavir therapy, genetic testing for HLA-B*57:01 is recommended to guide treatment decisions and reduce the risk of hypersensitivity reactions.	-0.3046339	0.16470955	-0.12059123	-0.14477767	0.2977105	0.037588667	-0.2001333236694336	0.23451469838619232	-0.027078785002231598	0.6534850735894726	0.5992868922828061	0.5971394891165093	0.69516677	0.6024844	0.5928062	0.6233858	0.58857155	0.58934045	0.45949024	0.45940906	0.36672777	0.5878867	0.62687814	0.59886736	1
abacavir	HLA-B	What would be the clinical guidance for someone who is HLA-B*57:01 negative for HLA-B with regards to taking abacavir? Give a 2-3 sentence summary.	Use abacavir per standard dosing guidelines	['Avoid abacavir. Take an alternate therapy.', 'Take abacavir with a reduced dose.', 'Take abacavir with an increased dose.']	Proceed taking abacavir as normal. There is no recommendation.	Individuals who are HLA-B*57:01 negative have a very low risk of developing abacavir hypersensitivity reaction (HSR), which is a severe and potentially life-threatening reaction. Clinical guidance suggests that in these individuals, abacavir can be safely prescribed without the need for HLA-B*57:01 screening. Close monitoring for any signs or symptoms of hypersensitivity is still recommended when initiating abacavir treatment.	-0.1853229	0.043484	-0.07970648	-0.16202457	0.040144827	-0.06680003	-0.16283272206783295	0.2210785448551178	-0.006192000117152929	0.6215346188852063	0.5895031215257439	0.5963904969296909	0.54846	0.63388586	0.5512968	0.63288766	0.63387126	0.6022855	0.5149361	0.4836772	0.54914135	0.61062	0.5752403	0.60779315	1
allopurinol	HLA-B	What would be the clinical guidance for someone who is HLA-B*58:01 positive for HLA-B with regards to taking allopurinol? Give a 2-3 sentence summary.	Allopurinol is contraindicated	['Proceed taking allopurinol as normal. There is no recommendation.', 'Take allopurinol with a reduced dose.', 'Take allopurinol with an increased dose.']	Avoid allopurinol. Take an alternate therapy.	Individuals who are positive for HLA-B*58:01 are at an increased risk of developing severe cutaneous adverse reactions (SCARs) when taking allopurinol. Therefore, it is recommended to avoid allopurinol in these individuals and consider alternative medications for the management of gout to prevent the potentially life-threatening reactions associated with this genetic variant. Genetic testing for HLA-B*58:01 prior to initiating allopurinol therapy can help identify patients at risk and guide personalized treatment decisions.	-0.22873753	0.21669395	-0.048483353	-0.11427413	0.37583724	0.084397614	-0.19308233261108398	0.2903904318809509	-0.008426709100604057	0.6240424982648688	0.5896390285292462	0.5562567239989762	0.73484313	0.62635726	0.5909547	0.6107204	0.5813801	0.5324153	0.4664347	0.51248896	0.43987694	0.6314147	0.6304214	0.616237	1
allopurinol	HLA-B	What would be the clinical guidance for someone who is HLA-B*58:01 negative for HLA-B with regards to taking allopurinol? Give a 2-3 sentence summary.	Use allopurinol per standard dosing guidelines	['Avoid allopurinol. Take an alternate therapy.', 'Take allopurinol with a reduced dose.', 'Take allopurinol with an increased dose.']	Proceed taking allopurinol as normal. There is no recommendation.	For individuals who are negative for HLA-B*58:01, the risk of developing allopurinol-induced severe cutaneous adverse reactions such as Stevens-Johnson syndrome or toxic epidermal necrolysis is lower. However, it is still recommended to follow regular monitoring for adverse reactions while taking allopurinol and to be aware of potential side effects, as risk cannot be completely ruled out solely based on HLA-B*58:01 status.	-0.16088903	0.23305954	0.0049605314	-0.1634189	0.124362454	-0.035111412	-0.16161704063415527	0.28912124037742615	-0.0016133218305185437	0.5878526412508269	0.5788558073744886	0.5964884855077436	0.5731928	0.621545	0.5893322	0.6010553	0.56573516	0.6092948	0.46517143	0.47147983	0.5276208	0.639121	0.61613846	0.6197431	0
amikacin	MT-RNR1	What would be the clinical guidance for someone who is increased risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking amikacin? Give a 2-3 sentence summary.	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	['Proceed taking amikacin as normal. There is no recommendation.', 'Take amikacin with a reduced dose.', 'Take amikacin with an increased dose.']	Avoid amikacin. Take an alternate therapy.	Individuals with increased risk of aminoglycoside-induced hearing loss due to variants in the MT-RNR1 gene may benefit from alternative antibiotics or personalized dosing strategies to minimize the risk of ototoxicity while still effectively treating the infection. Prior to prescribing amikacin, a healthcare provider may consider consulting with a clinical pharmacist or a pharmacogenomics specialist to tailor the treatment plan based on the patient's genetic profile to optimize therapeutic outcomes while minimizing potential adverse effects.	0.098735444	0.28515205	0.18830799	-0.080378905	0.35055298	0.10013325	-0.10633733123540878	0.41611436009407043	0.10272929072380066	0.7268156092258163	0.5631953715636675	0.5508414529257397	0.7036751	0.6303754	0.57398903	0.7387077	0.58639723	0.55125517	0.7241374	0.4604829	0.4157467	0.60397214	0.6523195	0.6594202	0
amikacin	MT-RNR1	What would be the clinical guidance for someone who is normal risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking amikacin? Give a 2-3 sentence summary.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	['Avoid amikacin. Take an alternate therapy.', 'Take amikacin with a reduced dose.', 'Take amikacin with an increased dose.']	Proceed taking amikacin as normal. There is no recommendation.	For individuals who are normal risk of aminoglycoside-induced hearing loss, screening for the MT-RNR1 variant associated with increased risk may not be necessary. However, it is important to monitor for signs of ototoxicity such as hearing loss and balance issues during amikacin treatment. Discussing the potential risks and benefits with a healthcare provider is recommended before initiating amikacin therapy.	0.07663034	0.22129562	0.14808616	-0.07735965	0.105126895	0.010164653	-0.0974636897444725	0.29873308539390564	0.06550490111112595	0.6102107334352694	0.5254090932764239	0.507330523011106	0.54214793	0.59621584	0.5944058	0.60945195	0.5946247	0.58199614	0.6704171	0.47092545	0.520652	0.54114425	0.5157668	0.53353083	0
amikacin	MT-RNR1	What would be the clinical guidance for someone who is uncertain risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking amikacin? Give a 2-3 sentence summary.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	['Avoid amikacin. Take an alternate therapy.', 'Take amikacin with a reduced dose.', 'Take amikacin with an increased dose.']	Proceed taking amikacin as normal. There is no recommendation.	Given the uncertainty regarding the risk of aminoglycoside-induced hearing loss for the MT-RNR1 gene, it is advisable to consider alternative antibiotics or alternative treatment options if possible to minimize the potential risk. If amikacin therapy is necessary, close monitoring of hearing function before and during treatment, as well as consideration of therapeutic drug monitoring to optimize dosing and minimize toxicity, may be recommended. Consulting with a healthcare provider with expertise in pharmacogenomics and audiology is essential for personalized decision-making.	0.10400863	0.36291003	0.22370139	-0.15875158	0.03539999	-0.06675437	-0.10366921126842499	0.359334260225296	0.08579598367214203	0.6984824930248816	0.49556496435790065	0.5682004834282183	0.6128995	0.47332022	0.5727262	0.7151173	0.45040238	0.48987535	0.7557244	0.44628212	0.47962117	0.62377876	0.5920351	0.6208503	0
aminosalicylic acid	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking aminosalicylic acid? Give a 2-3 sentence summary.	No reason to avoid based on G6PD status at standard doses	['Avoid aminosalicylic acid. Take an alternate therapy.', 'Take aminosalicylic acid with a reduced dose.', 'Take aminosalicylic acid with an increased dose.']	Proceed taking aminosalicylic acid as normal. There is no recommendation.	Individuals deficient in Glucose-6-Phosphate Dehydrogenase (G6PD) should exercise caution when taking aminosalicylic acid due to the risk of hemolysis, a condition where red blood cells are destroyed. These individuals may require a lower dose of aminosalicylic acid or an alternative medication to avoid potential adverse effects. Consultation with a healthcare provider knowledgeable in pharmacogenomics is recommended to ensure safe and effective treatment.	-0.12164228	0.16235669	0.0058285818	-0.08683014	0.13905396	0.018397179	0.009025951847434044	0.5478583574295044	0.20347322523593903	0.6068722311032289	0.55018512287484	0.5768186142243242	0.61235046	0.6196004	0.6373485	0.61012214	0.6157631	0.6123255	0.54978114	0.5971952	0.6092475	0.53987855	0.59227717	0.6890858	0
aminosalicylic acid	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking aminosalicylic acid? Give a 2-3 sentence summary.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	['Avoid aminosalicylic acid. Take an alternate therapy.', 'Take aminosalicylic acid with a reduced dose.', 'Take aminosalicylic acid with an increased dose.']	Proceed taking aminosalicylic acid as normal. There is no recommendation.	Individuals who are Indeterminate for G6PD deficiency are at a potential risk for developing hemolysis when exposed to triggers like aminosalicylic acid. It is important to closely monitor for signs of hemolysis, such as anemia and jaundice, if aminosalicylic acid is prescribed. In some cases, alternative medications may be considered to minimize the risk of hemolysis.	0.021772465	0.17179058	0.09558456	-0.10304478	0.08903737	-0.011633321	-0.015190817415714264	0.45649996399879456	0.18080401420593262	0.6164197934236172	0.476022521400631	0.49484162905672213	0.5269977	0.54921484	0.55227405	0.585921	0.5353325	0.55831057	0.529568	0.52511144	0.5454309	0.5010609	0.52422136	0.5951066	0
aminosalicylic acid	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking aminosalicylic acid? Give a 2-3 sentence summary.	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	['Avoid aminosalicylic acid. Take an alternate therapy.', 'Take aminosalicylic acid with a reduced dose.', 'Take aminosalicylic acid with an increased dose.']	Proceed taking aminosalicylic acid as normal. There is no recommendation.	Individuals who are deficient in the enzyme glucose-6-phosphate dehydrogenase (G6PD) should avoid taking aminosalicylic acid (PAS) as it can potentially trigger hemolytic anemia, a condition where red blood cells are destroyed faster than they can be produced. Therefore, it is recommended to consider alternative medications that do not pose a risk of hemolysis in individuals with G6PD deficiency. It is important for healthcare providers to be aware of a patient's G6PD status before prescribing medications that may cause hemolysis.	-0.049745083	0.21199378	0.06995785	-0.17789127	0.15974085	-0.031831183	-0.09755801409482956	0.5190721750259399	0.13993167877197266	0.42862221269860445	0.5241215640230386	0.5340557079972634	0.57177746	0.633006	0.6780724	0.5728504	0.5450132	0.58215404	0.56458163	0.4930145	0.51226896	0.5264429	0.5108383	0.58763194	0
