drug	genes	question	answer	incorrect_recommendations	concurring_recommendation	llm_answer	bert_score_precision_llm_vs_ref	bert_score_recall_llm_vs_ref	bert_score_f1_llm_vs_ref	bert_score_precision_llm_vs_concurring	bert_score_recall_llm_vs_concurring	bert_score_f1_llm_vs_concurring	bert_score_precision_llm_vs_discordant	bert_score_recall_llm_vs_discordant	bert_score_f1_llm_vs_discordant	oai_embedding_llm_vs_ref	oai_embedding_llm_vs_concurring	oai_embedding_llm_vs_discordant	negation_mpnet_llm_vs_ref	negation_mpnet_llm_vs_concurring	negation_mpnet_llm_vs_discordant	base_mpnet_llm_vs_ref	base_mpnet_llm_vs_concurring	base_mpnet_llm_vs_discordant	roberta_llm_vs_ref	roberta_llm_vs_concurring	roberta_llm_vs_discordant	gte_llm_vs_ref	gte_llm_vs_concurring	gte_llm_vs_discordant	gpt4_llm_vs_ref
abacavir	HLA-B	What would be the clinical guidance for someone who is HLA-B*57:01 positive for HLA-B with regards to taking abacavir? Give a 2-3 sentence summary.	Abacavir is not recommended	['Proceed taking abacavir as normal. There is no recommendation.', 'Take abacavir with a reduced dose.', 'Take abacavir with an increased dose.']	Avoid abacavir. Take an alternate therapy.	Individuals who test positive for HLA-B*57:01 should not be prescribed abacavir due to the high risk of hypersensitivity reactions, which can be severe and potentially life-threatening. HLA-B*57:01 screening is recommended before initiating abacavir therapy. If a patient is found to be HLA-B*57:01 positive, alternative antiretroviral medications should be considered to avoid this serious adverse reaction.	-0.28078577	0.19738238	-0.09296025	-0.13106835	0.36295086	0.06818451	-0.19856873154640198	0.19285190105438232	-0.03464088588953018	0.6668839352500654	0.6148294928029294	0.5862362037163688	0.7272906	0.5852812	0.6419099	0.69405025	0.6492838	0.67402744	0.56694615	0.54179466	0.47411323	0.6363398	0.6255282	0.6071299	1
abacavir	HLA-B	What would be the clinical guidance for someone who is HLA-B*57:01 negative for HLA-B with regards to taking abacavir? Give a 2-3 sentence summary.	Use abacavir per standard dosing guidelines	['Avoid abacavir. Take an alternate therapy.', 'Take abacavir with a reduced dose.', 'Take abacavir with an increased dose.']	Proceed taking abacavir as normal. There is no recommendation.	Individuals who are HLA-B*57:01 negative are at lower risk for developing abacavir-induced hypersensitivity reaction, a potentially life-threatening condition. Therefore, based on the current clinical guidelines, these patients can safely receive abacavir without the need for additional precautions specific to hypersensitivity related to the HLA-B*57:01 allele. It is important, however, to monitor all patients for other possible side effects as part of standard clinical care when prescribing abacavir.	-0.15912068	0.15045714	-0.022740748	-0.18168962	0.059503917	-0.07123067	-0.14818169176578522	0.23466625809669495	-0.008918067440390587	0.6398335957202553	0.5982319665292856	0.6104840259464285	0.5614271	0.5868083	0.5719666	0.6170673	0.61587965	0.6009839	0.49557194	0.44298086	0.51158196	0.5793499	0.54584	0.58102435	1
allopurinol	HLA-B	What would be the clinical guidance for someone who is HLA-B*58:01 positive for HLA-B with regards to taking allopurinol? Give a 2-3 sentence summary.	Allopurinol is contraindicated	['Proceed taking allopurinol as normal. There is no recommendation.', 'Take allopurinol with a reduced dose.', 'Take allopurinol with an increased dose.']	Avoid allopurinol. Take an alternate therapy.	Individuals who test positive for the HLA-B*58:01 allele are at significantly increased risk for developing severe cutaneous adverse reactions (SCARs), such as Stevens-Johnson syndrome and toxic epidermal necrolysis, when taking allopurinol. Clinical guidelines strongly recommend against the use of allopurinol in HLA-B*58:01 positive patients for the prevention or treatment of hyperuricemia and gout. Alternative medications with a lower risk profile for SCARs should be considered in these patients to manage their conditions safely.	-0.2325375	0.2750194	-0.03368533	-0.13678102	0.39972568	0.07523768	-0.20492112636566162	0.3329657316207886	0.001208731671795249	0.637906177064941	0.595418376204108	0.5610636146472983	0.6971699	0.51936805	0.5262424	0.66530204	0.63531506	0.5758008	0.46688178	0.5452051	0.46925542	0.6673519	0.6211097	0.61276525	1
allopurinol	HLA-B	What would be the clinical guidance for someone who is HLA-B*58:01 negative for HLA-B with regards to taking allopurinol? Give a 2-3 sentence summary.	Use allopurinol per standard dosing guidelines	['Avoid allopurinol. Take an alternate therapy.', 'Take allopurinol with a reduced dose.', 'Take allopurinol with an increased dose.']	Proceed taking allopurinol as normal. There is no recommendation.	Individuals who are negative for the HLA-B*58:01 allele have a significantly reduced risk of developing severe cutaneous adverse reactions (e.g., Stevens-Johnson syndrome, toxic epidermal necrolysis) when taking allopurinol, a medication commonly used to treat hyperuricemia and gout. Therefore, for these individuals, allopurinol can generally be prescribed following standard dosing and safety guidelines without additional genetic risk modifications. Nevertheless, it remains important to monitor all patients for typical drug reactions and efficacy during allopurinol therapy.	-0.07878359	0.45068908	0.1335783	-0.113207564	0.16923694	0.013783965	-0.12903206050395966	0.3730888366699219	0.06977903097867966	0.640854301872672	0.6000335436335935	0.6410348454385048	0.5271656	0.49539095	0.54197705	0.6396335	0.563915	0.627271	0.5092081	0.45540747	0.51683044	0.68752724	0.64491546	0.6367087	1
amikacin	MT-RNR1	What would be the clinical guidance for someone who is increased risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking amikacin? Give a 2-3 sentence summary.	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	['Proceed taking amikacin as normal. There is no recommendation.', 'Take amikacin with a reduced dose.', 'Take amikacin with an increased dose.']	Avoid amikacin. Take an alternate therapy.	Individuals with a mitochondrial mutation in the MT-RNR1 gene, such as m.1555A>G, are at increased risk of hearing loss when exposed to aminoglycosides like amikacin. Clinical guidance typically recommends avoiding aminoglycosides, including amikacin, in patients known to carry this mutation. If treatment with an aminoglycoside is considered essential, alternative therapies that do not pose a risk for ototoxicity should be prioritized, and the use of amikacin should be accompanied by careful monitoring of auditory function.	-0.015115802	0.17784199	0.07697206	-0.14604399	0.27458474	0.02912816	-0.20821738243103027	0.21513475477695465	-0.040009450167417526	0.6658939321703913	0.48663111037422335	0.4787544290612731	0.64907736	0.56700796	0.50887454	0.66416645	0.5671347	0.5144513	0.6827145	0.51420563	0.44718665	0.5867862	0.590998	0.5766162	1
amikacin	MT-RNR1	What would be the clinical guidance for someone who is normal risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking amikacin? Give a 2-3 sentence summary.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	['Avoid amikacin. Take an alternate therapy.', 'Take amikacin with a reduced dose.', 'Take amikacin with an increased dose.']	Proceed taking amikacin as normal. There is no recommendation.	Individuals with a normal risk genotype for MT-RNR1 do not possess the mitochondrial mutations commonly associated with increased sensitivity to aminoglycoside-induced ototoxicity, such as hearing loss. Therefore, these individuals can generally use aminoglycosides like amikacin under standard clinical guidance without special modifications based on genetic risk. However, it remains important to monitor hearing function during treatment, as aminoglycosides can cause ototoxicity even in patients without identified genetic risk factors, and to adjust treatment as needed based on standard clinical practices and patient response.	-0.041774716	0.22594285	0.08033475	-0.2098063	0.13780922	-0.060993757	-0.22412849962711334	0.3228134512901306	-0.02780107408761978	0.6088158535071782	0.4784279979517967	0.4421342397530419	0.4838632	0.50268066	0.51738095	0.6181668	0.44255033	0.47142354	0.63264686	0.41623384	0.4508288	0.53279024	0.52398276	0.52179986	1
amikacin	MT-RNR1	What would be the clinical guidance for someone who is uncertain risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking amikacin? Give a 2-3 sentence summary.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	['Avoid amikacin. Take an alternate therapy.', 'Take amikacin with a reduced dose.', 'Take amikacin with an increased dose.']	Proceed taking amikacin as normal. There is no recommendation.	For individuals with an uncertain risk of aminoglycoside-induced hearing loss due to MT-RNR1 variants, clinical guidance generally involves carefully weighing the benefits and risks of using amikacin, which is a type of aminoglycoside. It is advisable to monitor auditory function closely before, during, and after the treatment. Alternatives to aminoglycosides should be considered, especially if safer options are available that would adequately treat the infection while minimizing the risk of ototoxicity.	0.05707146	0.2395687	0.14490892	-0.14702314	0.09248132	-0.036882907	-0.09209500253200531	0.31986919045448303	0.08169502019882202	0.6741531718898119	0.5157542823102402	0.5397859061441194	0.6299153	0.52785295	0.61856693	0.7175132	0.58185554	0.6205618	0.77349395	0.50250405	0.56013435	0.6756895	0.5541011	0.60304266	0
aminosalicylic acid	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking aminosalicylic acid? Give a 2-3 sentence summary.	No reason to avoid based on G6PD status at standard doses	['Avoid aminosalicylic acid. Take an alternate therapy.', 'Take aminosalicylic acid with a reduced dose.', 'Take aminosalicylic acid with an increased dose.']	Proceed taking aminosalicylic acid as normal. There is no recommendation.	Clinical guidance for individuals deficient in glucose-6-phosphate dehydrogenase (G6PD) who are considering taking aminosalicylic acid generally involves caution due to the increased risk of hemolytic anemia. Aminosalicylic acid, like several other drugs, can induce oxidative stress in red blood cells, which in G6PD-deficient individuals can lead to the breakdown of these cells, resulting in hemolysis. It is advisable that healthcare providers closely monitor these patients for signs of hemolysis and consider alternative treatments that do not pose similar risks.	-0.16680029	0.092900425	-0.049085323	-0.17007902	0.13837568	-0.03429572	-0.10373163968324661	0.45399221777915955	0.116170234978199	0.5977954458741985	0.5776721668874973	0.5896488437441215	0.56324476	0.5710841	0.6130564	0.55326253	0.60842365	0.6374409	0.5307213	0.56065303	0.5989678	0.49951196	0.5097532	0.58981836	0
aminosalicylic acid	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking aminosalicylic acid? Give a 2-3 sentence summary.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	['Avoid aminosalicylic acid. Take an alternate therapy.', 'Take aminosalicylic acid with a reduced dose.', 'Take aminosalicylic acid with an increased dose.']	Proceed taking aminosalicylic acid as normal. There is no recommendation.	For individuals with an indeterminate G6PD status, caution is advised when prescribing aminosalicylic acid, as it is known to cause hemolysis in patients with G6PD deficiency. While definitive guidance may depend on the level of G6PD enzyme activity and clinical judgment, in cases where G6PD deficiency is suspected but not confirmed, it might be prudent to avoid the use of aminosalonic acid or closely monitor for signs of hemolysis. Consulting with a specialist in hematology or pharmacogenomics can provide further personalized guidance.	0.0023003193	0.21795127	0.10385691	-0.18454176	0.10386414	-0.056323577	-0.1443370133638382	0.37273192405700684	0.058271560817956924	0.6708384760929673	0.57341759041434	0.5417541107875223	0.56828654	0.59380627	0.5789732	0.6865117	0.625422	0.6211009	0.62355953	0.5615399	0.545192	0.5036359	0.5379797	0.56594014	0
aminosalicylic acid	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking aminosalicylic acid? Give a 2-3 sentence summary.	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	['Avoid aminosalicylic acid. Take an alternate therapy.', 'Take aminosalicylic acid with a reduced dose.', 'Take aminosalicylic acid with an increased dose.']	Proceed taking aminosalicylic acid as normal. There is no recommendation.	Clinical guidance for individuals deficient in glucose-6-phosphate dehydrogenase (G6PD) who are considering taking aminosalicylic acid generally revolves around the risk of hemolysis. Aminosalicylic acid has been associated with oxidative stress in red blood cells, which might lead to hemolysis in G6PD-deficient individuals. Therefore, it is advisable to avoid the use of aminosalicylic acid in patients with G6PD deficiency or consider alternative treatments that do not pose a risk of inducing hemolytic anemia.	-0.060858212	0.22766927	0.069073334	-0.16005017	0.10360325	-0.040752325	-0.08299187570810318	0.4722178876399994	0.13708554208278656	0.44009753270334456	0.5684745782387682	0.5765864836451299	0.5690845	0.55859834	0.6104962	0.48025054	0.6056192	0.62289256	0.45764083	0.5211008	0.5623774	0.44363764	0.52158153	0.5969466	0
