drug	genes	question	answer	incorrect_recommendations	concurring_recommendation	llm_answer	bert_score_precision_llm_vs_ref	bert_score_recall_llm_vs_ref	bert_score_f1_llm_vs_ref	bert_score_precision_llm_vs_concurring	bert_score_recall_llm_vs_concurring	bert_score_f1_llm_vs_concurring	oai_embedding_llm_vs_ref	oai_embedding_llm_vs_concurring	oai_embedding_llm_vs_counterfactual	negation_mpnet_llm_vs_ref	negation_mpnet_llm_vs_concurring	negation_mpnet_llm_vs_counterfactual	base_mpnet_llm_vs_ref	base_mpnet_llm_vs_concurring	base_mpnet_llm_vs_counterfactual	roberta_llm_vs_ref	roberta_llm_vs_concurring	roberta_llm_vs_counterfactual	gte_llm_vs_ref	gte_llm_vs_concurring	gte_llm_vs_counterfactual	gpt4_llm_vs_ref
abacavir	HLA-B	What would be the clinical guidance for someone who is HLA-B*57:01 positive for HLA-B with regards to taking abacavir? Give a 2-3 sentence summary.	Abacavir is not recommended	"['Proceed taking abacavir as normal. There is no recommendation.', 'Take abacavir with a reduced dose.', 'Take abacavir with an increased dose.']"	Avoid abacavir. Take an alternate therapy.	Individuals who are HLA-B*57:01 positive should not be prescribed abacavir due to the high risk of developing a potentially life-threatening hypersensitivity reaction. The clinical guidelines recommend genetic testing for HLA-B*57:01 prior to initiating abacavir therapy to avoid this severe adverse effect.	-0.0938525	0.36551774	0.097260736	tensor(-0.0489)	tensor(0.3133)	tensor(0.0925)	0.6734354887418340	0.6130880182026380	0.7600543178364250	0.6745988	0.54222584	0.81565624	0.63219553	0.5798433	0.8705849	0.5365228	0.5038063	0.81285465	0.6366767	0.6447098	0.7781236	1
abacavir	HLA-B	What would be the clinical guidance for someone who is HLA-B*57:01 negative for HLA-B with regards to taking abacavir? Give a 2-3 sentence summary.	Use abacavir per standard dosing guidelines	"['Avoid abacavir. Take an alternate therapy.', 'Take abacavir with a reduced dose.', 'Take abacavir with an increased dose.']"	Proceed taking abacavir as normal. There is no recommendation.	"For individuals who test negative for the HLA-B*57:01 allele, abacavir can be prescribed without a high risk of hypersensitivity reactions. This genetic marker is used to identify those at significant risk for developing abacavir hypersensitivity syndrome; thus, a negative result suggests that the patient is unlikely to experience this adverse reaction, making abacavir a suitable option for treatment. Regular clinical monitoring should still be maintained as per standard practice."	-0.11519056	0.2608492	0.0465773	tensor(-0.0766)	tensor(0.3694)	tensor(0.1105)	0.6040195415292890	0.5770313654882340	0.7523120277915230	0.49915087	0.59996814	0.66466814	0.5701026	0.6042612	0.7724148	0.5243609	0.45854044	0.74568725	0.5702961	0.5376297	0.68976	1
allopurinol	HLA-B	What would be the clinical guidance for someone who is HLA-B*58:01 positive for HLA-B with regards to taking allopurinol? Give a 2-3 sentence summary.	Allopurinol is contraindicated	"['Proceed taking allopurinol as normal. There is no recommendation.', 'Take allopurinol with a reduced dose.', 'Take allopurinol with an increased dose.']"	Avoid allopurinol. Take an alternate therapy.	"Individuals who are positive for the HLA-B*58:01 allele are at significantly increased risk of developing severe cutaneous adverse reactions (SCAR), including Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN), when taking allopurinol. Clinical guidance strongly advises against the use of allopurinol in these patients to prevent these potentially life-threatening reactions. Alternative urate-lowering therapies should be considered for these individuals."	-0.1509365	0.2370952	0.014263923	tensor(-0.1298)	tensor(0.2746)	tensor(0.0350)	0.62853274887794	0.5855442170085000	0.7334331181180040	0.7417577	0.54229784	0.7339339	0.6787365	0.6368211	0.78995836	0.44080472	0.5305816	0.6430116	0.679917	0.6342941	0.6872222	1
allopurinol	HLA-B	What would be the clinical guidance for someone who is HLA-B*58:01 negative for HLA-B with regards to taking allopurinol? Give a 2-3 sentence summary.	Use allopurinol per standard dosing guidelines	"['Avoid allopurinol. Take an alternate therapy.', 'Take allopurinol with a reduced dose.', 'Take allopurinol with an increased dose.']"	Proceed taking allopurinol as normal. There is no recommendation.	"If an individual tests negative for the HLA-B*58:01 allele, they are at a significantly lower risk of developing severe cutaneous adverse reactions (SCARs) such as Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN) from allopurinol. Therefore, standard dosing and monitoring guidelines for allopurinol can be followed in these patients, without modification based on HLA-B*58:01 status."	-0.15223159	0.36134613	0.054516498	tensor(-0.1517)	tensor(0.2767)	tensor(0.0273)	0.5940411452059530	0.5481276330411190	0.7373529677825360	0.5518407	0.5463085	0.71061313	0.62548923	0.5434266	0.818009	0.5089705	0.44097722	0.70139337	0.6592052	0.5914135	0.6518097	1
amikacin	MT-RNR1	What would be the clinical guidance for someone who is increased risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking amikacin? Give a 2-3 sentence summary.	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	"['Proceed taking amikacin as normal. There is no recommendation.', 'Take amikacin with a reduced dose.', 'Take amikacin with an increased dose.']"	Avoid amikacin. Take an alternate therapy.	"For individuals who have a genetic variant in the MT-RNR1 gene indicating an increased risk of aminoglycoside-induced hearing loss, the clinical guidance would typically recommend avoiding the use of amikacin and other aminoglycosides if alternative antibiotics are available. If aminoglycosides must be used, careful monitoring of hearing function and drug levels is necessary to mitigate the risk."	0.19022271	0.20935912	0.2020793	tensor(-0.0460)	tensor(0.2890)	tensor(0.0916)	0.765900823553026	0.5218183970744430	0.47300988554893900	0.84189034	0.651784	0.55981016	0.7975513	0.6067238	0.507757	0.8281692	0.5300255	0.51828355	0.6766109	0.6308934	0.5752193	1
amikacin	MT-RNR1	What would be the clinical guidance for someone who is normal risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking amikacin? Give a 2-3 sentence summary.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"['Avoid amikacin. Take an alternate therapy.', 'Take amikacin with a reduced dose.', 'Take amikacin with an increased dose.']"	Proceed taking amikacin as normal. There is no recommendation.	"For an individual identified as having normal risk of aminoglycoside-induced hearing loss according to their MT-RNR1 genotype, standard clinical guidance would be followed when prescribing amikacin. This typically includes using the lowest effective dose, closely monitoring renal function and hearing, and potentially avoiding other ototoxic drugs to minimize risk. Genotypic normal risk suggests no additional alterations or precautions are necessary beyond standard clinical practice."	0.021008983	0.24327031	0.12503703	tensor(-0.0549)	tensor(0.3886)	tensor(0.1296)	0.70386145971378	0.5704083992955350	0.4983220689341490	0.70574564	0.58328575	0.5545074	0.6957683	0.6210514	0.5777282	0.72135353	0.5162334	0.530801	0.6780252	0.61320776	0.60883355	0
amikacin	MT-RNR1	What would be the clinical guidance for someone who is uncertain risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking amikacin? Give a 2-3 sentence summary.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"['Avoid amikacin. Take an alternate therapy.', 'Take amikacin with a reduced dose.', 'Take amikacin with an increased dose.']"	Proceed taking amikacin as normal. There is no recommendation.	"For individuals with uncertain risk of aminoglycoside-induced hearing loss associated with MT-RNR1 variants, alternative antibiotics should be considered due to the high risk of irreversible ototoxicity. Genetic testing for MT-RNR1 mutations is recommended before administering aminoglycosides like amikacin if there is any concern about potential hearing loss. If genetic testing is not possible, closely monitoring auditory function during treatment and promptly discontinuing amikacin if hearing loss is detected is advisable."	0.029145611	0.15566182	0.09184417	tensor(-0.0702)	tensor(0.3530)	tensor(0.1092)	0.6501419362605180	0.47857182254045000	0.4983220689341490	0.54663956	0.5017861	0.5545074	0.6905398	0.5695878	0.5777282	0.7174506	0.44114804	0.530801	0.566806	0.47998106	0.60883355	0
aminosalicylic acid	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking aminosalicylic acid? Give a 2-3 sentence summary.	No reason to avoid based on G6PD status at standard doses	"['Avoid aminosalicylic acid. Take an alternate therapy.', 'Take aminosalicylic acid with a reduced dose.', 'Take aminosalicylic acid with an increased dose.']"	Proceed taking aminosalicylic acid as normal. There is no recommendation.	"For individuals with Glucose-6-Phosphate Dehydrogenase (G6PD) deficiency, the use of aminosalicylic acid is generally not recommended. This is due to the increased risk of hemolytic anemia in G6PD-deficient patients, as aminosalicylic acid can induce oxidative stress in red blood cells. Close monitoring and alternative treatments are advisable."	-0.017624058	0.13430929	0.056323126	tensor(0.0386)	tensor(0.4513)	tensor(0.2166)	0.6482561802565390	0.5437702268925620	0.3628768605253920	0.61885995	0.6534071	0.45775127	0.62595016	0.6707877	0.3852969	0.59672683	0.5738958	0.36039174	0.5462864	0.56897074	0.42451632	0
aminosalicylic acid	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking aminosalicylic acid? Give a 2-3 sentence summary.	"To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype."	"['Avoid aminosalicylic acid. Take an alternate therapy.', 'Take aminosalicylic acid with a reduced dose.', 'Take aminosalicylic acid with an increased dose.']"	Proceed taking aminosalicylic acid as normal. There is no recommendation.	"Clinical guidance for an individual with an indeterminate G6PD status regarding the use of aminosalicylic acid would be to proceed with caution. Since G6PD deficiency can lead to hemolytic anemia when exposed to oxidative drugs, assessing the patient's specific risk through additional diagnostic testing is recommended before administration. Close monitoring for signs of hemolysis is also advised if the drug is deemed necessary."	0.11234921	0.23013064	0.17104678	tensor(0.0042)	tensor(0.4964)	tensor(0.2092)	0.6352805025106790	0.5762642216580070	0.301519857334226	0.5990656	0.58039904	0.32068476	0.6680703	0.5880773	0.33260477	0.6346666	0.54016596	0.25907266	0.5961087	0.5447319	0.4185267	0
aminosalicylic acid	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking aminosalicylic acid? Give a 2-3 sentence summary.	"Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended"	"['Avoid aminosalicylic acid. Take an alternate therapy.', 'Take aminosalicylic acid with a reduced dose.', 'Take aminosalicylic acid with an increased dose.']"	Proceed taking aminosalicylic acid as normal. There is no recommendation.	"Clinical guidance for an individual with glucose-6-phosphate dehydrogenase (G6PD) deficiency and congenital non-spherocytic hemolytic anemia (CNSHA) would generally advise against the use of aminosalicylic acid. Aminosalicylic acid can induce oxidative stress, leading to hemolytic anemia in G6PD-deficient individuals. Thus, alternative medications that do not pose a risk for hemolysis should be considered."	-0.04763868	0.10991203	0.028717326	tensor(-0.0089)	tensor(0.4548)	tensor(0.1860)	0.44557517741729600	0.5109887750977760	0.4288612522394750	0.48137552	0.67177635	0.54422027	0.501938	0.6511579	0.49296308	0.4985845	0.5404774	0.39857784	0.513643	0.52638125	0.4836932	0
