modelname	out_type	mode	precision_mean	precision_std	recall_mean	recall_std
Meta-Llama-3-70B-Instruct	results	clinician	0.31772151898734174	0.21951354162863587	0.7679324894514767	0.39801655815943054
gemini-pro	results	clinician	0.1706012658227848	0.21083261277827195	0.44936708860759494	0.4909105662248051
gpt-3.5-turbo	results	clinician	0.21688266023709063	0.19756213493847488	0.7151898734177216	0.4506657774593726
gpt-4-turbo	results	clinician	0.44240506329113927	0.2818437145019094	0.8481012658227848	0.3430110858243173
gpt-4o	results	clinician	0.5991561181434599	0.3169240826681548	0.9367088607594937	0.24504171031127586
Meta-Llama-3-70B-Instruct	results	researcher	0.43248945147679324	0.2995949156632847	0.7489451476793249	0.40638898474756774
gemini-pro	results	researcher	0.3429568321973385	0.3819528636884542	0.5189873417721519	0.4766539220190857
gpt-3.5-turbo	results	researcher	0.296776878185106	0.25791293322395786	0.7278481012658228	0.4370462361448727
gpt-4-turbo	results	researcher	0.5580168776371308	0.42936928466935814	0.6666666666666666	0.45760431532242934
gpt-4o	results	researcher	0.8090717299578059	0.3588403039441335	0.8417721518987342	0.3539547975401947
