modelname	out_type	bert_score_precision_llm_vs_ref_mean	bert_score_precision_llm_vs_ref_std	bert_score_recall_llm_vs_ref_mean	bert_score_recall_llm_vs_ref_std	bert_score_f1_llm_vs_ref_mean	bert_score_f1_llm_vs_ref_std	oai_embedding_llm_vs_ref_mean	oai_embedding_llm_vs_ref_std	oai_embedding_llm_vs_concurring_mean	oai_embedding_llm_vs_concurring_std	oai_embedding_llm_vs_counterfactual_mean	oai_embedding_llm_vs_counterfactual_std	negation_mpnet_llm_vs_ref_mean	negation_mpnet_llm_vs_ref_std	negation_mpnet_llm_vs_concurring_mean	negation_mpnet_llm_vs_concurring_std	negation_mpnet_llm_vs_counterfactual_mean	negation_mpnet_llm_vs_counterfactual_std	base_mpnet_llm_vs_ref_mean	base_mpnet_llm_vs_ref_std	base_mpnet_llm_vs_concurring_mean	base_mpnet_llm_vs_concurring_std	base_mpnet_llm_vs_counterfactual_mean	base_mpnet_llm_vs_counterfactual_std	roberta_llm_vs_ref_mean	roberta_llm_vs_ref_std	roberta_llm_vs_concurring_mean	roberta_llm_vs_concurring_std	roberta_llm_vs_counterfactual_mean	roberta_llm_vs_counterfactual_std	gte_llm_vs_ref_mean	gte_llm_vs_ref_std	gte_llm_vs_concurring_mean	gte_llm_vs_concurring_std	gte_llm_vs_counterfactual_mean	gte_llm_vs_counterfactual_std	gpt4_llm_vs_ref_mean	gpt4_llm_vs_ref_std
Meta-Llama-3-70B-Instruct	results	-0.039726346202554746	0.1373457502296838																																				
gemini-pro	results	0.05812817447790754	0.14169073795538248																																				
gpt-3.5-turbo	results	-0.01469821426515815	0.1264159559833557																																				
gpt-4-turbo	results	-0.03823546629343066	0.13307485990237095																																				
gpt-4o	results	0.001741724883754257	0.13351677046655114																																				
Meta-Llama-3-70B-Instruct	results			0.18044294391905108	0.0995743264242878																																		
gemini-pro	results			0.11197742509781022	0.14548104961804595																																		
gpt-3.5-turbo	results			0.17067501560956203	0.09940590050893158																																		
gpt-4-turbo	results			0.16614350586812654	0.09966243818412537																																		
gpt-4o	results			0.18271487799416058	0.1073639340023977																																		
Meta-Llama-3-70B-Instruct	results					0.05953542772829684	0.10788379865588783																																
gemini-pro	results					0.07839721982931873	0.10639942872268007																																
gpt-3.5-turbo	results					0.07002805336287628	0.09727426267950916																																
gpt-4-turbo	results					0.0547450713586618	0.10557995437382332																																
gpt-4o	results					0.08477537648467154	0.10587364273792432																																
Meta-Llama-3-70B-Instruct	results							0.553366794602925	0.15181282705033108																														
gemini-pro	results							0.4613482685395589	0.20979585209712145																														
gpt-3.5-turbo	results							0.5454020798812196	0.15398295155591363																														
gpt-4-turbo	results							0.5424106224730186	0.16118044413175717																														
gpt-4o	results							0.5618959035193514	0.15259837080555105																														
Meta-Llama-3-70B-Instruct	results									0.5883572904488282	0.05243580046963347																												
gemini-pro	results									0.4894672473204604	0.16761664232106915																												
gpt-3.5-turbo	results									0.5801642547352817	0.05828647613266552																												
gpt-4-turbo	results									0.5675198124628554	0.0607990343151909																												
gpt-4o	results									0.5927592803466653	0.052871676978936154																												
Meta-Llama-3-70B-Instruct	results											0.4582011198273215	0.1409734670021466																										
gemini-pro	results											0.4582011198273215	0.1409734670021466																										
gpt-3.5-turbo	results											0.4582011198273215	0.1409734670021466																										
gpt-4-turbo	results											0.4582011198273215	0.1409734670021466																										
gpt-4o	results											0.4582011198273215	0.1409734670021466																										
Meta-Llama-3-70B-Instruct	results													0.5098788539318735	0.1532295161966415																								
gemini-pro	results													0.4398074714136253	0.20945251865163458																								
gpt-3.5-turbo	results													0.5210499079562043	0.1587072363612785																								
gpt-4-turbo	results													0.4970282427469586	0.16440714400642634																								
gpt-4o	results													0.5513541175450122	0.15935283369287598																								
Meta-Llama-3-70B-Instruct	results															0.5484229568126521	0.07888376530912874																						
gemini-pro	results															0.4883645645352798	0.1927208193747596																						
gpt-3.5-turbo	results															0.5626495200973236	0.06544490839217243																						
gpt-4-turbo	results															0.5179663184914842	0.07696497184532819																						
gpt-4o	results															0.57984337243309	0.05869309836196073																						
Meta-Llama-3-70B-Instruct	results																	0.45693669316301705	0.14806132171497294																				
gemini-pro	results																	0.45693669316301705	0.14806132171497294																				
gpt-3.5-turbo	results																	0.45693669316301705	0.14806132171497294																				
gpt-4-turbo	results																	0.45693669316301705	0.14806132171497294																				
gpt-4o	results																	0.45693669316301705	0.14806132171497294																				
Meta-Llama-3-70B-Instruct	results																			0.5202898995158151	0.19446483994299235																		
gemini-pro	results																			0.4318536386520681	0.23688312536882097																		
gpt-3.5-turbo	results																			0.5281776341523114	0.1924246366418222																		
gpt-4-turbo	results																			0.5172992792944039	0.1980726856699281																		
gpt-4o	results																			0.5460946267445256	0.1899906039673088																		
Meta-Llama-3-70B-Instruct	results																					0.5756797314841848	0.07045459964856525																
gemini-pro	results																					0.4890796440681265	0.22440266719658916																
gpt-3.5-turbo	results																					0.5864539050608273	0.07058505235333577																
gpt-4-turbo	results																					0.5588118094160585	0.07261822615038252																
gpt-4o	results																					0.6005463938686131	0.06776807456370977																
Meta-Llama-3-70B-Instruct	results																							0.4221368238248175	0.20144848208962154														
gemini-pro	results																							0.4221368238248175	0.20144848208962154														
gpt-3.5-turbo	results																							0.4221368238248175	0.20144848208962154														
