"document","cand 0","cand 1","cand 2","cand 3","cand 4","cand 5","None of the above"
"$llm_answer:
For individuals who test negative for the HLA-B*57:01 allele, abacavir can be prescribed without a high risk of hypersensitivity reactions. This genetic marker is used to identify those at significant risk for developing abacavir hypersensitivity syndrome; thus, a negative result suggests that the patient is unlikely to experience this adverse reaction, making abacavir a suitable option for treatment. Regular clinical monitoring should still be maintained as per standard practice.

$cand_0:
Avoid abacavir. Take an alternate therapy.
$cand_1:
Take abacavir with a reduced dose.
$cand_2:
Take abacavir with an increased dose.
$cand_3:
Use abacavir per standard dosing guidelines","0","0","0","1","0","0","0"
"$llm_answer:
For individuals who have a genetic variant in the MT-RNR1 gene indicating an increased risk of aminoglycoside-induced hearing loss, the clinical guidance would typically recommend avoiding the use of amikacin and other aminoglycosides if alternative antibiotics are available. If aminoglycosides must be used, careful monitoring of hearing function and drug levels is necessary to mitigate the risk.

$cand_0:
Proceed taking amikacin as normal. There is no recommendation.
$cand_1:
Take amikacin with a reduced dose.
$cand_2:
Take amikacin with an increased dose.
$cand_3:
Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.","0","0","0","1","0","0","0"
"$llm_answer:
Clinical guidance for an individual with an indeterminate G6PD status regarding the use of aminosalicylic acid would be to proceed with caution. Since G6PD deficiency can lead to hemolytic anemia when exposed to oxidative drugs, assessing the patient's specific risk through additional diagnostic testing is recommended before administration. Close monitoring for signs of hemolysis is also advised if the drug is deemed necessary.

$cand_0:
Avoid aminosalicylic acid. Take an alternate therapy.
$cand_1:
Take aminosalicylic acid with a reduced dose.
$cand_2:
Take aminosalicylic acid with an increased dose.
$cand_3:
To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.","0","0","0","1","0","0","0"
"$llm_answer:
In individuals with an indeterminate G6PD status, there is insufficient information to predict their risk of hemolytic anemia when exposed to oxidative drugs like aspirin. Clinicians are generally advised to exercise caution, especially at high doses, and consider alternative therapies or confirm G6PD status through further testing. Monitoring for signs of hemolysis if aspirin is used is advisable.

$cand_0:
Avoid aspirin. Take an alternate therapy.
$cand_1:
Take aspirin with a reduced dose.
$cand_2:
Take aspirin with an increased dose.
$cand_3:
To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.","0","0","0","1","0","0","0"
"$llm_answer:
For a patient identified as a CYP2D6 ultrarapid metabolizer with an activity score of ≥3.75, standard doses of atomoxetine may not achieve therapeutic levels due to increased metabolism, potentially leading to reduced efficacy. Clinical guidance suggests careful monitoring of the patient's response and considering alternative treatments or dose adjustments based on therapeutic drug monitoring and clinical judgment.

$cand_0:
Proceed taking atomoxetine as normal. There is no recommendation.
$cand_1:
Avoid atomoxetine. Take an alternate therapy.
$cand_2:
Initiate with a dose of 40 mg/day and increase to 80 mg/day after 3 days. If no clinical response and in the absence of adverse events after 2 weeks, consider increasing dose to 100 mg/day. If no clinical response observed after 2 weeks, consider obtaining a peak plasma concentration (1 to 2 hours after dose administered). If <200 ng/mL, consider a proportional increase in dose to approach 400 ng/mL. Dosages greater than 100 mg/day may be needed to achieve target concentrations.","0","0","0","0","0","0","1"
"$llm_answer:
For a patient who has an indeterminate SLCO1B1 genotype, clinical guidance would suggest monitoring for signs of statin-associated muscle symptoms or myopathy when taking atorvastatin. While definitive genotype-based adjustments cannot be made, practitioners should consider regular clinical evaluations and patient history to individualize statin therapy effectively.

$cand_0:
Avoid atorvastatin. Take an alternate therapy.
$cand_1:
Take atorvastatin with a reduced dose.
$cand_2:
Take atorvastatin with an increased dose.
$cand_3:
No recommendation","0","0","0","0","0","0","1"
"$llm_answer:
For an individual who is a Possible Intermediate Metabolizer (IM) for TPMT and a Normal Metabolizer (NM) for NUDT15, the clinical guidance for taking azathioprine generally involves considering a reduced dose. Close monitoring for myelosuppression and other adverse effects is recommended, as intermediate TPMT metabolizers can have an increased risk for toxicity at standard doses. Adjustments should be based on therapeutic response and tolerance.

$cand_0:
Proceed taking azathioprine as normal. There is no recommendation.
$cand_1:
Avoid azathioprine. Take an alternate therapy.
$cand_2:
Start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 – 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532).","0","0","1","0","0","0","0"
"$llm_answer:
Patients who are classified as Poor Metabolizers (activity score = 0.0) for the DPYD gene are at a significantly increased risk of severe, potentially life-threatening toxicity when treated with capecitabine. Clinical guidelines recommend avoiding the use of capecitabine in these patients and considering alternative chemotherapeutic agents that are not metabolized by the DPD enzyme.

$cand_0:
Proceed taking capecitabine as normal. There is no recommendation.
$cand_1:
Take capecitabine with a reduced dose.
$cand_2:
Take capecitabine with an increased dose.
$cand_3:
Avoid use of 5-fluorouracil or 5-fluorouracil prodrug-based regimens.","0","0","0","1","0","0","0"
"$llm_answer:
For a patient who is a normal metabolizer (CYP2C9 activity score 2.0), standard dosing of celecoxib is generally recommended. This patient would metabolize the drug at a typical rate, thus standard celecoxib dosing guidelines can be followed without the need for adjustments. It is important to monitor for efficacy and adverse effects as with any medication.

$cand_0:
Avoid celecoxib. Take an alternate therapy.
$cand_1:
Take celecoxib with a reduced dose.
$cand_2:
Take celecoxib with an increased dose.
$cand_3:
Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.","0","0","0","1","0","0","0"
"$llm_answer:
For patients who are classified as Indeterminate for the CYP2C9 metabolizer status, the clinical guidance is to follow standard dosing recommendations for celecoxib. However, clinicians should remain vigilant for potential adverse effects or lack of efficacy, as the indeterminate status suggests uncertainty about the patient's metabolic capacity for processing the drug. Regular monitoring and possibly adjusting the dose based on clinical response and tolerance may be advised.

$cand_0:
Avoid celecoxib. Take an alternate therapy.
$cand_1:
Take celecoxib with a reduced dose.
$cand_2:
Take celecoxib with an increased dose.
$cand_3:
No recommendation","0","0","0","1","0","0","0"
